,title,artist
542811,Genie In A Bottle,Christina Aguilera
1015427,Swallowed In The Sea,Coldplay
20039,We Ride,Rihanna
96184,The Diary,Hollywood Undead
675997,Your Star,The All-American Rejects
893488,My Humps,Black Eyed Peas
472224,War Pigs,Cake
231370,Break It Off,"Rihanna, Sean Paul"
569483,I Dont Want To Be Late,Prince Alla
49778,Every Morning,Basshunter
291011,Camaro,Kings Of Leon
1049446,Dashboard,Modest Mouse
185669,Puppetmad,Puppetmastaz
158856,"The Gymnast, High Above the Ground",The Decemberists
108361,Horchata,Vampire Weekend
667198,Walking Through The Country,The Grass Roots
236565,Undo,Björk
458330,Breathing,Lifehouse
381702,A Whiter Shade Of Pale,Procol Harum
325286,"Television Rules The Nation, Crescendolls",Dafeat.Punk
81343,You Make It Real,James Morrison
331413,If We Ever Meet Again,"Timbaland, Katy Perry"
918254,Représente,Alliance Ethnik
658786,Fix You,Coldplay
789123,Plastic Jungle,Miike Snow
878100,Drop The World,"Lil Wayne, Eminem"
50743,Electric Avenue,Eddy Grant
997249,Signos,Soda Stereo
277812,All Men Are Liars,Nick Lowe
72457,Sexy Bitch,DJ Dizzy
133744,Rainbow In The Sky,Ziggy Marley
734273,The Marbled Godwit,Bowerbirds
395486,I Gotta Feeling,Black Eyed Peas
279003,The News,Jack Johnson
891781,My Sharona,The Knack
250150,I CANT GET STARTED,Ron Carter
497162,Im With You,Avril Lavigne
1030686,Tron,Foals
1068756,Con Te Partirò,Andrea Bocelli
1105454,Hints,José González
40318,Una Música Brutal,Gotan Project
753688,San Simeon,Goldfinger
982079,Needle In The Hay,Elliott Smith
135833,It Takes Two,"Rob Base, DJ EZ Rock"
146815,Orange Trägt Nur Die Müllabfuhr (Go West),Mickie Krause
1016239,Suffocate,J Holiday
326129,Tacobel Canon,Ratatat
313850,I Like It,"Sammie, JT Money"
983719,Everywhere I Go,The Black Keys
800434,Lisztomania,Phoenix
169728,Drunk Girls,LCD Soundsystem
1012492,Bill Murray,Gorillaz
466712,Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),"Barry Tuckwell,Academy of St Martin-in-the-Fields,Sir Neville Marriner"
1016175,Paper Planes,MIA
661059,OMG,"Usher, william"
880003,Hasta Aqui Te Fui Fiel,Eddie Santiago
840868,Irreplaceable,Beyoncé
1031390,Kabuki Girl,Descendents
18761,Jack & Diane,John Mellencamp
295885,The Memory Remains,"Metallica, Marianne Faithfull"
216853,Hitched,The Kills
256850,All Falls Down,"Kanye West, Syleena Johnson"
347455,Such Great Heights,The Postal Service
25058,Short Circuit,Dafeat.Punk
17341,Headlong,Queen
360112,Boy With The Coin,Iron And Wine
968593,Love,Keyshia Cole
139737,Rammstein,Rammstein
1027510,Im On Fire,Bruce Springsteen
105343,Firecracker,Josh Turner
808875,Marchin On,OneRepublic
452911,Chantilly Lace,Big Bopper
486262,Blind,"Hercules, Love Affair"
270591,Blame It On The Rain,Milli Vanilli
76938,Sexy Love,Anneli Drecker
913030,I Never Told You,Colbie Caillat
478948,The Hardest Part,"Ryan Adams, The Cardinals"
330640,Adrift,Jack Johnson
213216,Satisfaction,Benny Benassi Presents The Biz
381188,Rocks Off,The Rolling Stones
695086,Apology,Alesana
462992,Buddy Holly,Weezer
854221,Behind The Sun,Red Hot Chili Peppers
774449,Change,FIR
620889,Karibien,Air France
145595,No Remorse,Metallica
225630,Quiero Verte Sonreir,Carlos Vives
1055219,The Way She Dances,NERD
132219,Global A Go-Go,"Joe Strummer, The Mescaleros"
353696,No Sleep Till Brooklyn,The Beastie Boys
1109814,"Sing, Sing, Sing (Key-E-Premiere Performance Plus w,o Background Vocals)",Chris Tomlin
1009288,Implosion of Eternity,Origin
845484,"The Message, Outro","Dr Dre, Thomas Chong, Mary J Blige, Rell"
607842,Trouble,Coldplay
869496,Revelry,Kings Of Leon
496104,Big Me,Foo Fighters
243690,Oh Sister,Andrew Bird
470500,The Way I Was,Maroon 5
478475,Heaven Beside You,Alice In Chains
527593,Forgot About Dre,"Dr Dre, Eminem"
366842,Party In The U.S.A.,Miley Cyrus
866248,Tenuousness,Andrew Bird
107353,Peace Train,Cat Stevens
566334,Rainin You,Brad Paisley
1017459,Speed Of Life,Sugarland
854284,Rorol,Octopus Project
957865,Almaz,Randy Crawford
596389,Cuando Estés Acá,La Renga
942926,U Smile,Justin Bieber
1031773,Better The Devil You Know (Showgirl Tour),Kylie Minogue
901773,Strawberry Swing,Coldplay
921849,Secret,The Pierces
240120,The Boss,"Rick Ross, T-Pain"
12196,Heads Will Roll,Yeah Yeah Yeahs
637972,St. Elsewhere,Dave Grusin
1086294,"Hey, Soul Sister",Train
801988,Follow Me Down,"3OH!3, Neon Hitch"
414628,To Build A Home,The Cinematic Orchestra
48142,Dont Let Me Be Misunderstood,The Animals
877125,Teach Me How To Dougie,California Swag District
499559,Also Frightened,Animal Collective
1039530,Milord,Cher
981029,You Could Be Happy,Snow Patrol
276478,Have You Ever Seen The Rain,Creedence Clearwater Revival
465833,Patience,Guns N' Roses
757802,Spybreak!,Propellerheads
803259,Orange Sky,Alexi Murdoch
501160,Siempre Es De Noche,Alejandro Sanz
620475,Save Tonight,Eagle-Eye Cherry
659709,Anywhere Is,Enya
98505,Give Me Your Eyes,Brandon Heath
413126,Historia Del Portero,Ricardo Arjona
464347,Ghost Highway,Mazzy Star
342022,Diamond Dave,the bird and the bee
509522,A Beggar On A Beach Of Gold,Mike And The Mechanics
1099253,Holy Roller Novocaine,Kings Of Leon
910679,Tears Dont Fall,Bullet For My Valentine
754459,Pills Drunk Daddy,Kyle Cease
