,title,artist,id,link,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,duration_ms,label
0,Genie In A Bottle,Christina Aguilera,11mwFrKvLXCbcVGNxffGyP,https://open.spotify.com/artist/1l7ZsJRRS8wlW3WfJfPfNS,0.633,0.8,1,-6.945,1,0.166,0.209,0.000123,0.137,0.913,175.716,spotify:track:11mwFrKvLXCbcVGNxffGyP,https://api.spotify.com/v1/tracks/11mwFrKvLXCbcVGNxffGyP,217573,nothot
1,Swallowed In The Sea,Coldplay,2u2WL5N3KnQnykOZi3fxL6,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,0.265,0.378,11,-10.823,1,0.0316,0.0557,1.29e-06,0.119,0.153,142.1,spotify:track:2u2WL5N3KnQnykOZi3fxL6,https://api.spotify.com/v1/tracks/2u2WL5N3KnQnykOZi3fxL6,239002,nothot
2,We Ride,Rihanna,0EIsxWGPSte4cAHZw5aXr4,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H,0.394,0.744,5,-5.465,0,0.276,0.00175,0,0.308,0.772,78.696,spotify:track:0EIsxWGPSte4cAHZw5aXr4,https://api.spotify.com/v1/tracks/0EIsxWGPSte4cAHZw5aXr4,236680,nothot
3,The Diary,Hollywood Undead,3D8fT4ExPoHvW6clW9nYLp,https://open.spotify.com/artist/0CEFCo8288kQU7mJi25s6E,0.612,0.666,0,-6.276,1,0.0363,0.0237,0,0.662,0.788,148.064,spotify:track:3D8fT4ExPoHvW6clW9nYLp,https://api.spotify.com/v1/tracks/3D8fT4ExPoHvW6clW9nYLp,275293,nothot
4,Your Star,The All-American Rejects,1FiAliBdsh2bTWn4xHnbUG,https://open.spotify.com/artist/3vAaWhdBR38Q02ohXqaNHT,0.49,0.857,2,-3.641,1,0.0471,0.000785,0.00255,0.0953,0.483,148.072,spotify:track:1FiAliBdsh2bTWn4xHnbUG,https://api.spotify.com/v1/tracks/1FiAliBdsh2bTWn4xHnbUG,260827,nothot
5,My Humps,Black Eyed Peas,20jYtEun4dUdYZ9foaOC48,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,0.802,0.682,1,-5.924,0,0.222,0.111,1.39e-05,0.109,0.586,123.95,spotify:track:20jYtEun4dUdYZ9foaOC48,https://api.spotify.com/v1/tracks/20jYtEun4dUdYZ9foaOC48,326960,nothot
6,War Pigs,Cake,5Cg6S5BXG6lXqjijSK9zFh,https://open.spotify.com/artist/6A43Djmhbe9100UwnI7epV,0.581,0.566,5,-8.169,0,0.0357,0.00698,2.93e-06,0.0968,0.449,83.904,spotify:track:5Cg6S5BXG6lXqjijSK9zFh,https://api.spotify.com/v1/tracks/5Cg6S5BXG6lXqjijSK9zFh,234013,nothot
7,Break It Off,"Rihanna, Sean Paul",2osdbXkJFUwPBLiZ4gRaEv,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H,0.897,0.738,10,-5.314,0,0.228,0.0166,0,0.0573,0.798,133.966,spotify:track:2osdbXkJFUwPBLiZ4gRaEv,https://api.spotify.com/v1/tracks/2osdbXkJFUwPBLiZ4gRaEv,213373,nothot
8,I Dont Want To Be Late,Prince Alla,3pXE3hlfachrJMtiL7u2Y1,https://open.spotify.com/artist/4B4xNaBe6u9iNPsDkJC8I2,0.573,0.488,11,-10.399,0,0.0465,0.0052,0,0.0649,0.735,142.626,spotify:track:3pXE3hlfachrJMtiL7u2Y1,https://api.spotify.com/v1/tracks/3pXE3hlfachrJMtiL7u2Y1,245133,nothot
9,Every Morning,Basshunter,6SNV1vJKx31a1APhTRgTfJ,https://open.spotify.com/artist/37DdwREpvvQHmGLFEZ4h0Q,0.33,0.938,11,-3.185,1,0.08,0.0901,2.67e-05,0.491,0.204,144.808,spotify:track:6SNV1vJKx31a1APhTRgTfJ,https://api.spotify.com/v1/tracks/6SNV1vJKx31a1APhTRgTfJ,199053,nothot
